Hogar,Sector,Zona,Comuna,DirCoordX,DirCoordY,Fecha,DiaAsig,TipoDia,Temporada,NumPer,NumVeh,NumBicAdulto,NumBicNino,Propiedad,MontoDiv,ImputadoDiv,MontoArr,ImputadoArr,IngresoHogar,Factor
123631,1,154,HUECHURABA,343534.715860765,6307586.40169767,2013-03-18 00:00:00.000000,lunes,1,1,2,0,0,0,1,NA,0,135000,0,849046,118.672523498535
123641,1,149,HUECHURABA,348186.855218179,6306830.14910286,2012-09-13 00:00:00.000000,jueves,1,1,1,0,0,0,1,NA,0,90000,0,100000,56.426082611084
123651,1,156,HUECHURABA,347835.829352654,6307480.44048059,2012-09-12 00:00:00.000000,miércoles,1,1,2,1,0,0,3,NA,0,120000,0,350000,124.023246765137
123661,1,154,HUECHURABA,342960.269584287,6307453.32956485,2013-03-12 00:00:00.000000,martes,1,1,3,1,0,0,5,NA,0,150000,0,610502,103.993278503418
123672,1,154,HUECHURABA,343587.366797266,6307495.96901939,2012-10-04 00:00:00.000000,jueves,1,1,2,0,0,0,1,NA,0,120000,0,80000,118.672523498535
123681,1,144,HUECHURABA,347142.577072073,6306053.84721691,2013-02-01 00:00:00.000000,viernes,1,2,3,0,0,0,1,NA,0,130000,0,600000,99.8677520751953
123691,1,154,HUECHURABA,344023.718456564,6307552.58037062,2013-03-18 00:00:00.000000,lunes,1,1,3,1,0,0,1,NA,0,150000,0,900686,103.993278503418
123701,1,148,HUECHURABA,348836.541594,6305822.29856,2012-10-13 00:00:00.000000,sábado,2,1,2,0,1,1,5,NA,0,80000,0,200000,86.2533721923828
123711,1,145,HUECHURABA,347967.435825198,6305748.82313612,2012-10-18 00:00:00.000000,jueves,1,1,4,0,0,0,1,NA,0,100000,0,200000,36.383975982666
123721,1,150,HUECHURABA,344697.945545514,6309528.46377481,2013-03-15 00:00:00.000000,viernes,1,1,6,2,2,0,2,482188,1,800000,0,2872019,170.931350708008
123731,1,149,HUECHURABA,348296.349161,6307497.42548,2012-09-28 00:00:00.000000,viernes,1,1,3,0,0,1,5,NA,0,129699,1,116583,90.7441635131836
123741,1,154,HUECHURABA,343855.149168321,6307905.67870699,2013-04-08 00:00:00.000000,lunes,1,1,3,1,0,0,1,NA,0,140000,0,177888,103.993278503418
123751,1,154,HUECHURABA,343575.239833,6308454.30252,2013-04-21 00:00:00.000000,domingo,2,1,4,2,1,2,1,NA,0,270000,0,1389743,64.9162979125977
123761,1,155,HUECHURABA,347559.03241,6306226.53427,2013-09-28 00:00:00.000000,sábado,2,1,2,0,1,0,1,NA,0,120000,0,390354,98.8082580566406
123771,1,149,HUECHURABA,348452.642916611,6307359.79283815,2013-02-13 00:00:00.000000,miércoles,1,2,3,0,0,0,3,NA,0,70000,0,138102,90.7441635131836
123781,1,149,HUECHURABA,348452.642916611,6307359.79283815,2013-02-13 00:00:00.000000,miércoles,1,2,6,0,3,1,3,NA,0,75000,0,59388,170.407272338867
123791,1,149,HUECHURABA,348452.64291661,6307359.79283815,2013-02-13 00:00:00.000000,miércoles,1,2,4,0,3,1,5,NA,0,85000,0,80000,73.0042419433594
123801,1,154,HUECHURABA,343115.203021446,6307967.26650376,2013-03-18 00:00:00.000000,lunes,1,1,3,0,0,0,1,NA,0,140000,0,920000,120.142189025879
123811,1,154,HUECHURABA,343097.150381173,6307966.97429194,2013-03-18 00:00:00.000000,lunes,1,1,2,2,0,0,1,NA,0,140000,0,846212,79.7038116455078
123821,1,154,HUECHURABA,343147.711480058,6307804.74812775,2013-03-18 00:00:00.000000,lunes,1,1,3,0,0,0,1,NA,0,120000,0,900000,120.142189025879
123831,1,150,HUECHURABA,344294.618931,6309406.17351,2013-03-15 00:00:00.000000,viernes,1,1,3,1,0,0,1,NA,0,800000,0,491044,117.309562683105
123841,1,155,HUECHURABA,347640.316386,6306446.76064,2013-06-05 00:00:00.000000,miércoles,1,1,3,0,1,0,1,NA,0,100000,0,704211,100.031860351563
123851,1,145,HUECHURABA,348008.469236449,6305845.347596,2012-10-18 00:00:00.000000,jueves,1,1,3,0,0,0,5,NA,0,80000,0,200000,45.225227355957
123862,1,144,HUECHURABA,347467.234818,6305686.993,2013-06-05 00:00:00.000000,miércoles,1,1,4,0,1,2,1,NA,0,100000,0,436841,80.3442230224609
123871,1,144,HUECHURABA,347420.199402,6305685.25867,2013-06-05 00:00:00.000000,miércoles,1,1,1,0,0,0,1,NA,0,100000,0,200608,62.0992393493652
123881,1,154,HUECHURABA,343721.256223355,6307850.83651984,2013-04-21 00:00:00.000000,domingo,2,1,4,1,0,2,1,NA,0,260000,0,750000,83.6632461547852
123891,1,148,HUECHURABA,348377.812169,6306446.81214,2012-08-25 00:00:00.000000,sábado,2,1,2,0,0,0,6,NA,0,80000,0,106426,86.2533721923828
